"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"584","106","11","6","3","115","SLOPSTR1"
"585","106","11","6","4","128","SPDIASTR2"
"586","106","11","6","5","139","T5_50SD"
"587","106","11","6","6","140","T5_75MN"
"588","106","11","6","7","142","T5_100MN"
"589","106","11","6","8","189","T20_1300SD"
"590","106","11","6","9","195","T20_1600SD"
"591","106","11","6","10","197","T20_1700SD"
"592","106","11","6","11","199","T20_1800SD"
"593","107","11","7","1","52","SAGESAN3"
"594","107","11","7","2","54","SAGESAND0"
"595","107","11","7","3","78","SDENSAND10"
"596","107","11","7","4","94","SDIASTRD4"
"597","107","11","7","5","123","SPAGESTR3"
"598","107","11","7","6","139","T5_50SD"
"599","107","11","7","7","140","T5_75MN"
"600","107","11","7","8","189","T20_1300SD"
"601","107","11","7","9","195","T20_1600SD"
"602","107","11","7","10","197","T20_1700SD"
"603","107","11","7","11","201","T20_1900SD"
"604","108","11","8","1","45","RDDEND0"
"605","108","11","8","2","49","RDP"
"606","108","11","8","3","76","SAGESTRD10"
"607","108","11","8","4","81","SDIASAN1"
"608","108","11","8","5","115","SLOPSTR1"
"609","108","11","8","6","128","SPDIASTR2"
"610","108","11","8","7","136","T5_25MN"
"611","108","11","8","8","139","T5_50SD"
"612","108","11","8","9","189","T20_1300SD"
"613","108","11","8","10","195","T20_1600SD"
"614","108","11","8","11","197","T20_1700SD"
"615","109","11","9","1","52","SAGESAN3"
"616","109","11","9","2","78","SDENSAND10"
"617","109","11","9","3","94","SDIASTRD4"
"618","109","11","9","4","123","SPAGESTR3"
"619","109","11","9","5","157","T10_400SD"
"620","109","11","9","6","174","T10_850MN"
"621","109","11","9","7","176","T10_900MN"
"622","109","11","9","8","178","T10_950MN"
"623","109","11","9","9","185","T20_1100SD"
"624","109","11","9","10","195","T20_1600SD"
"625","109","11","9","11","197","T20_1700SD"
"626","110","11","10","1","46","RDDEND1"
