VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3,Y0,Y1,Z0,Z1,DFCOEF3_ADJ,Z0_ADJ,Z1_ADJ,SD,B*,LOADING,RL,RANK
33,SLOPSAND6,LN1,-100.25053067,0.00362542,0.0023692244898,-0.702316336401,0.746395052548,-100.25053067,-0.702316336401,0.746395052548,0.00625907543215,-0.627475633576,-0.210546440036,-0.693014788687,7.0
33,T10_300SD,LN1,0.0522198331254,4.51136074253,7.03147601546,-0.702316336401,0.746395052548,0.0522198331254,-0.702316336401,0.746395052548,19.7351951073,1.0305685952,0.133961448065,0.440934857921,2.0
33,T10_400MN,LN1,-0.081432516682,4.2587261421,2.49072750749,-0.702316336401,0.746395052548,-0.081432516682,-0.702316336401,0.746395052548,10.0764861066,-0.82055362297,-0.184066038826,-0.60585439953,5.0
34,PCLDEND0,LN1,2.04527130991,0.04,0.183673469388,0.418966047018,1.85771437558,2.04527130991,0.418966047018,1.85771437558,0.315869027653,0.646037859947,0.478174607824,1.0,1.0
34,PCLDEND6,LN1,-5.36771008929,0.02,0.0,0.418966047018,1.85771437558,-5.36771008929,0.418966047018,1.85771437558,0.100503781526,-0.539475162109,-0.209201390923,-0.4375,6.0
34,RDDEND1,LN1,-1.85932212231,0.74,0.489795918367,0.418966047018,1.85771437558,-1.85932212231,0.418966047018,1.85771437558,0.488794241321,-0.908825946147,-0.538127621197,-1.12537891471,8.0
34,SDENSTRD10,LN1,1.58748863048,0.82,0.938775510204,0.418966047018,1.85771437558,1.58748863048,0.418966047018,1.85771437558,0.558290526239,0.886279862906,0.223657579808,0.467732029573,3.0
34,SDIASTRD8,LN1,-52.8183864312,0.00634682,0.00200787755102,0.418966047018,1.85771437558,-52.8183864312,0.418966047018,1.85771437558,0.0100227408606,-0.529384999875,-0.455107887913,-0.95176088497,7.0
34,SLOPSAN2,LN1,75.2312469563,0.000854172520962,0.00230552765168,0.418966047018,1.85771437558,75.2312469563,0.418966047018,1.85771437558,0.00473973489286,0.356576166232,0.321911592321,0.673209298557,2.0
34,SPDIASTRC,LN1,0.37642154564,1.72,1.79591836735,0.418966047018,1.85771437558,0.37642154564,0.418966047018,1.85771437558,0.990680132184,0.372913346592,0.0805620263182,0.16847826087,4.0
34,T10_500SD,LN1,0.0157358844598,9.03605763578,10.1060732024,0.418966047018,1.85771437558,0.0157358844598,0.418966047018,1.85771437558,28.0069586372,0.440714265187,0.0401643849289,0.0839952274163,5.0
35,PCLDEND0,LN1,2.10969403615,0.04,0.183673469388,0.593807277486,2.00450381419,2.10969403615,0.593807277486,2.00450381419,0.315869027653,0.666387003844,0.48117492996,1.0,1.0
35,PCLDEND4,LN1,1.12869410316,0.06,0.163265306122,0.593807277486,2.00450381419,1.12869410316,0.593807277486,2.00450381419,0.315869027653,0.356519508883,0.345844480908,0.71875,2.0
35,PCLDEND6,LN1,-5.81884791225,0.02,0.0,0.593807277486,2.00450381419,-5.81884791225,0.593807277486,2.00450381419,0.100503781526,-0.584816219305,-0.210514031857,-0.4375,6.0
35,RDDEND1,LN1,-1.42781361522,0.74,0.489795918367,0.593807277486,2.00450381419,-1.42781361522,0.593807277486,2.00450381419,0.488794241321,-0.697907072797,-0.541504120465,-1.12537891471,8.0
35,SDENSTRD10,LN1,1.29595446157,0.82,0.938775510204,0.593807277486,2.00450381419,1.29595446157,0.593807277486,2.00450381419,0.558290526239,0.723519098334,0.225060926569,0.467732029573,4.0
35,SDIASTRD8,LN1,-54.7181667438,0.00634682,0.00200787755102,0.593807277486,2.00450381419,-54.7181667438,0.593807277486,2.00450381419,0.0100227408606,-0.548426005641,-0.457963477163,-0.95176088497,7.0
