"VARSET2","CLASS2","VARNAMES2","MEANS2"
35,1,"OICP",0.485155684286749
35,0,"PCLDEND1",0.237361282367448
35,1,"PCLDEND1",0.169442433019551
35,0,"RDP",0.875462392108508
35,1,"RDP",0.923968139029689
35,0,"SAGESAND9",0.00597577373612824
35,1,"SAGESAND9",0.00328886531498914
35,0,"SLOPSTR1",0.0359819949198238
35,1,"SLOPSTR1",0.0348719320600704
35,0,"SPDIASTRC",1.30826140567201
35,1,"SPDIASTRC",1.56408399710355
35,0,"SSH7_25",0.130702836004932
35,1,"SSH7_25",0.274438812454743
36,0,"BLDADEN",0.219108679613829
36,1,"BLDADEN",0.22872441890272
36,0,"BLDADEND0",0.0166461159062885
36,1,"BLDADEND0",0.0101375814627082
36,0,"BLDDEND1",0.280517879161529
36,1,"BLDDEND1",0.264301230992035
36,0,"BLDDENI",590.65639858835
36,1,"BLDDENI",648.321085174511
36,0,"L039",0.0104808877928483
36,1,"L039",0.0492396813902969
36,0,"L060",0.00246609124537608
36,1,"L060",0
36,0,"OICP",0.381011097410604
36,1,"OICP",0.485155684286749
36,0,"PCLDEND1",0.237361282367448
36,1,"PCLDEND1",0.169442433019551
36,0,"RDP",0.875462392108508
36,1,"RDP",0.923968139029689
36,0,"SAGESAND9",0.00597577373612824
36,1,"SAGESAND9",0.00328886531498914
36,0,"SLOPSTR1",0.0359819949198238
36,1,"SLOPSTR1",0.0348719320600704
36,0,"SPDIASTRC",1.30826140567201
36,1,"SPDIASTRC",1.56408399710355
36,0,"SSH7_25",0.130702836004932
36,1,"SSH7_25",0.274438812454743
37,0,"BLDADEN",0.219108679613829
37,1,"BLDADEN",0.22872441890272
37,0,"L039",0.0104808877928483
37,1,"L039",0.0492396813902969
37,0,"OICP",0.381011097410604
37,1,"OICP",0.485155684286749
37,0,"PCLDEND1",0.237361282367448
37,1,"PCLDEND1",0.169442433019551
37,0,"RDDEND1",0.500616522811344
37,1,"RDDEND1",0.429398986241854
37,0,"RDP",0.875462392108508
37,1,"RDP",0.923968139029689
37,0,"SAGESAND9",0.00597577373612824
37,1,"SAGESAND9",0.00328886531498914
37,0,"SAGESTRD8",0.00348786744759556
37,1,"SAGESTRD8",0.00222033454018827
37,0,"SLOPSTR1",0.0359819949198238
37,1,"SLOPSTR1",0.0348719320600704
37,0,"SPAGESTR2",0.189272503082614
37,1,"SPAGESTR2",0.255611875452571
37,0,"SPDIASTRC",1.30826140567201
37,1,"SPDIASTRC",1.56408399710355
37,0,"SSH7_25",0.130702836004932
37,1,"SSH7_25",0.274438812454743
37,0,"T20_1800SD",13.8180298264012
37,1,"T20_1800SD",21.6282123972377
38,0,"BLDADEN",0.219108679613829
38,1,"BLDADEN",0.22872441890272
38,0,"BLDDENI",590.65639858835
38,1,"BLDDENI",648.321085174511
38,0,"L039",0.0104808877928483
38,1,"L039",0.0492396813902969
38,0,"L060",0.00246609124537608
38,1,"L060",0
38,0,"OICP",0.381011097410604
38,1,"OICP",0.485155684286749
38,0,"PCLDEND1",0.237361282367448
38,1,"PCLDEND1",0.169442433019551
38,0,"RDDEN",0.0357690875462392
38,1,"RDDEN",0.0329483091962346
38,0,"RDDEND2",0
38,1,"RDDEND2",0.00144822592324403
38,0,"RDP",0.875462392108508
38,1,"RDP",0.923968139029689
38,0,"SAGESAND9",0.00597577373612824
38,1,"SAGESAND9",0.00328886531498914
38,0,"SLOPSTR1",0.0359819949198238
38,1,"SLOPSTR1",0.0348719320600704
38,0,"SPDIASTRC",1.30826140567201
38,1,"SPDIASTRC",1.56408399710355
38,0,"SSH7_25",0.130702836004932
38,1,"SSH7_25",0.274438812454743
39,0,"BLDADEN",0.219108679613829
39,1,"BLDADEN",0.22872441890272
39,0,"BLDADEND0",0.0166461159062885
39,1,"BLDADEND0",0.0101375814627082
39,0,"BLDDENI",590.65639858835
39,1,"BLDDENI",648.321085174511
39,0,"L039",0.0104808877928483
39,1,"L039",0.0492396813902969
39,0,"L060",0.00246609124537608
39,1,"L060",0
39,0,"OICP",0.381011097410604
39,1,"OICP",0.485155684286749
39,0,"PCLDEND1",0.237361282367448
39,1,"PCLDEND1",0.169442433019551
39,0,"RDDEN",0.0357690875462392
39,1,"RDDEN",0.0329483091962346
39,0,"RDDEND2",0
39,1,"RDDEND2",0.00144822592324403
39,0,"RDP",0.875462392108508
39,1,"RDP",0.923968139029689
39,0,"SAGESAND9",0.00597577373612824
39,1,"SAGESAND9",0.00328886531498914
39,0,"SPDIASTRC",1.30826140567201
39,1,"SPDIASTRC",1.56408399710355
39,0,"SSH7_25",0.130702836004932
39,1,"SSH7_25",0.274438812454743
40,0,"BLDADEN",0.219108679613829
40,1,"BLDADEN",0.22872441890272
40,0,"BLDADEND0",0.0166461159062885
40,1,"BLDADEND0",0.0101375814627082
40,0,"BLDDENI",590.65639858835
40,1,"BLDDENI",648.321085174511
40,0,"L039",0.0104808877928483
40,1,"L039",0.0492396813902969
40,0,"L060",0.00246609124537608
40,1,"L060",0
40,0,"OICP",0.381011097410604
40,1,"OICP",0.485155684286749
40,0,"PCLDEND1",0.237361282367448
40,1,"PCLDEND1",0.169442433019551
40,0,"RDDEND1",0.500616522811344
40,1,"RDDEND1",0.429398986241854
40,0,"RDP",0.875462392108508
40,1,"RDP",0.923968139029689
40,0,"SAGESAND9",0.00597577373612824
40,1,"SAGESAND9",0.00328886531498914
40,0,"SLOPSTR1",0.0359819949198238
40,1,"SLOPSTR1",0.0348719320600704
40,0,"SPDIASTRC",1.30826140567201
40,1,"SPDIASTRC",1.56408399710355
40,0,"SSH7_25",0.130702836004932
40,1,"SSH7_25",0.274438812454743
41,0,"BLDADEN",0.219108679613829
41,1,"BLDADEN",0.22872441890272
41,0,"BLDADEND0",0.0166461159062885
41,1,"BLDADEND0",0.0101375814627082
41,0,"BLDDENI",590.65639858835
41,1,"BLDDENI",648.321085174511
41,0,"L039",0.0104808877928483
41,1,"L039",0.0492396813902969
41,0,"L060",0.00246609124537608
41,1,"L060",0
41,0,"OICP",0.381011097410604
41,1,"OICP",0.485155684286749
41,0,"PCLDEND1",0.237361282367448
41,1,"PCLDEND1",0.169442433019551
41,0,"RDDEN",0.0357690875462392
